timestamp,scheduler_memory_used,scheduler_memory_limit,scheduler_cpu_used,scheduler_cpu_limit,worker_cpu_used,worker_cpu_limit,worker_memory_used,worker_memory_limit,worker_count_used,worker_count_min,worker_count_max
2025-05-06T00:01:00.000000,497123328.0,2146435072.0,0.29159083081637316,0.5,0.1353637218407433,0.5,1240219648.0,2146435072.0,1,1,3
2025-05-06T00:02:00.000000,513105920.0,2146435072.0,0.2829542402641285,0.5,0.16239058627955577,0.5,1159954432.0,2146435072.0,1,1,3
2025-05-06T00:03:00.000000,513564672.0,2146435072.0,0.27965981538291085,0.5,0.13456765756952033,0.5,1329213440.0,2146435072.0,1,1,3
2025-05-06T00:04:00.000000,426770432.0,2146435072.0,0.29037188413276455,0.5,0.22807425807053128,0.5,1216221184.0,2146435072.0,1,1,3
2025-05-06T00:05:00.000000,437788672.0,2146435072.0,0.28425953167219026,0.5,0.10680193915310762,0.5,1223241728.0,2146435072.0,1,1,3
2025-05-06T00:06:00.000000,454893568.0,2146435072.0,0.2732201004961098,0.5,0.16235690837844838,0.5,1203548160.0,2146435072.0,1,1,3
2025-05-06T00:07:00.000000,470470656.0,2146435072.0,0.27252046213834547,0.5,0.10790051247992474,0.5,1173835776.0,2146435072.0,1,1,3
2025-05-06T00:08:00.000000,450994176.0,2146435072.0,0.28223369126717446,0.5,0.19020242003753082,0.5,1216778240.0,2146435072.0,1,1,3
2025-05-06T00:09:00.000000,498552832.0,2146435072.0,0.27439395249408943,0.5,0.2079468835648489,0.5,1300938752.0,2146435072.0,1,1,3
2025-05-06T00:10:00.000000,498692096.0,2146435072.0,0.2762698455041876,0.5,0.1664941585990164,0.5,1297633280.0,2146435072.0,1,1,3
2025-05-06T00:11:00.000000,442847232.0,2146435072.0,0.28053279237719836,0.5,0.16471040124621747,0.5,1330769920.0,2146435072.0,1,1,3
2025-05-06T00:12:00.000000,426827776.0,2146435072.0,0.2780309001325804,0.5,0.09359153903787956,0.5,1160011776.0,2146435072.0,1,1,3
2025-05-06T00:13:00.000000,459128832.0,2146435072.0,0.2858677144957862,0.5,0.1633131014527559,0.5,1285574656.0,2146435072.0,1,1,3
2025-05-06T00:14:00.000000,490164224.0,2146435072.0,0.2695605182850462,0.5,0.2438378072743944,0.5,1257418752.0,2146435072.0,1,1,3
2025-05-06T00:15:00.000000,478478336.0,2146435072.0,0.27557132949053387,0.5,0.1506785159833574,0.5,1408864256.0,2146435072.0,1,1,3
2025-05-06T00:16:00.000000,508178432.0,2146435072.0,0.27873315578132557,0.5,0.11843101396116254,0.5,1174183936.0,2146435072.0,1,1,3
2025-05-06T00:17:00.000000,557940736.0,2146435072.0,0.27682740807673933,0.5,0.15696508967206077,0.5,1356144640.0,2146435072.0,1,1,3
2025-05-06T00:18:00.000000,431403008.0,2146435072.0,0.2803184616937263,0.5,0.1111654868965464,0.5,1203490816.0,2146435072.0,1,1,3
2025-05-06T00:19:00.000000,454295552.0,2146435072.0,0.27214022758513845,0.5,0.1983783409522099,0.5,1239535616.0,2146435072.0,1,1,3
2025-05-06T00:20:00.000000,455696384.0,2146435072.0,0.2731032217714528,0.5,0.2077152349129998,0.5,1258090496.0,2146435072.0,1,1,3
2025-05-06T00:21:00.000000,453849088.0,2146435072.0,0.2873366778857114,0.5,0.17168145360119524,0.5,1197142016.0,2146435072.0,1,1,3
2025-05-06T00:22:00.000000,532750336.0,2146435072.0,0.27851986157814584,0.5,0.10598893633214174,0.5,1216143360.0,2146435072.0,1,1,3
2025-05-06T00:23:00.000000,543485952.0,2146435072.0,0.2737530406460186,0.5,0.17617242829740765,0.5,1384579072.0,2146435072.0,1,1,3
2025-05-06T00:24:00.000000,436989952.0,2146435072.0,0.2708373944546717,0.5,0.20654794281557165,0.5,1159991296.0,2146435072.0,1,1,3
2025-05-06T00:25:00.000000,428269568.0,2146435072.0,0.2796614716624996,0.5,0.14881459231376842,0.5,1330147328.0,2146435072.0,1,1,3
